"name" "id" "judgmentDate" "year"
"360" "Ewa Krajewska" 38354 "2014-02-07" 2014
"361" "Monika Stefaniak-Dąbrowska" 38354 "2014-02-07" 2014
"362" "Rafał Maciejewski" 38362 "2014-02-21" 2014
"363" NA 38363 "2014-02-27" 2014
"364" "Anna Rodak" 38650 "2014-02-25" 2014
"365" "Monika Pawłowska-Radzimierska" 38650 "2014-02-25" 2014
"366" "Sędziowie" 38651 "2014-03-11" 2014
"367" "Magdalena Lisowska" 38652 "2014-03-11" 2014
"368" "Monika Pawłowska-Radzimierska" 38652 "2014-03-11" 2014
"369" NA 38653 "2014-03-14" 2014
"370" "Anna Rodak" 38654 "2014-02-25" 2014
"371" "Monika Pawłowska-Radzimierska" 38654 "2014-02-25" 2014
"372" "Sędziowie" 38655 "2014-03-11" 2014
"373" "Sędziowie" 38656 "2014-03-12" 2014
"374" "Karol Kotyński" 38657 "2014-02-27" 2014
"375" "Magdalena Lisowska" 38657 "2014-02-27" 2014
"376" "Monika Pawłowska-Radzimierska" 38657 "2014-02-27" 2014
"377" "Sędziowie" 38658 "2014-03-13" 2014
"378" "Karol Kotyński" 38659 "2014-02-27" 2014
"379" "Magdalena Lisowska" 38659 "2014-02-27" 2014
"380" "Monika Pawłowska-Radzimierska" 38659 "2014-02-27" 2014
"381" "Rafał Maciejewski" 38666 "2014-03-05" 2014
"382" NA 38667 "2014-02-21" 2014
"383" NA 38676 "2014-03-17" 2014
"384" "Jarosław Pawlak" 38677 "2014-02-26" 2014
"385" "Marzena Eichstaedt" 38677 "2014-02-26" 2014
"386" "Ryszard Badio" 38677 "2014-02-26" 2014
"387" "Krystyna Szereda" 38678 "2014-02-21" 2014
"388" "Krzysztof Wójcik" 38678 "2014-02-21" 2014
"389" "Krzysztof Wójcik Krystyna Szereda Mariola Szczepańska" 38678 "2014-02-21" 2014
"390" "Mariola Szczepańska" 38678 "2014-02-21" 2014
"391" NA 38679 "2014-03-07" 2014
"392" "Mariola Szczepańska" 38680 "2014-03-05" 2014
"393" "Marzena Eichstaedt" 38680 "2014-03-05" 2014
"394" "Ryszard Badio" 38680 "2014-03-05" 2014
"395" "Ryszard Badio Marzena Eichstaedt Mariola Szczepańska" 38680 "2014-03-05" 2014
"396" NA 38681 "2014-03-17" 2014
"397" NA 38725 "2014-03-04" 2014
"398" NA 38726 "2014-03-19" 2014
"399" "Karol Kotyński" 39008 "2014-02-27" 2014
"400" "Monika Pawłowska-Radzimierska" 39008 "2014-02-27" 2014
"401" NA 39009 "2014-03-13" 2014
"402" "Anna Rodak" 39011 "2014-03-04" 2014
"403" "Karol Kotyński" 39011 "2014-03-04" 2014
"404" NA 39012 "2014-03-19" 2014
"405" "Sędziowie" 39013 "2014-03-19" 2014
"406" "Anna Rodak" 39014 "2014-03-12" 2014
"407" "Magdalena Lisowska" 39014 "2014-03-12" 2014
"408" "Monika Pawłowska-Radzimierska" 39014 "2014-03-12" 2014
"409" "Rafał Maciejewski" 39332 "2014-03-05" 2014
"410" NA 39481 "2014-03-06" 2014
"411" "Barbara Pięcek" 39482 "2014-02-12" 2014
"412" "Krzysztof Kacprzak" 39482 "2014-02-12" 2014
"413" "Marta Witoszyńska" 39482 "2014-02-12" 2014
"414" "Barbara Pięcek" 39483 "2014-02-12" 2014
"415" "Krzysztof Kacprzak" 39483 "2014-02-12" 2014
"416" "Marta Witoszyńska" 39483 "2014-02-12" 2014
"417" NA 39484 "2014-02-26" 2014
"418" NA 39485 "2014-03-06" 2014
"419" "Bogdan Jachowicz" 39486 "2014-02-13" 2014
"420" "Bożena Rządzińska" 39486 "2014-02-13" 2014
"421" "Zofia Szcześniewicz" 39486 "2014-02-13" 2014
"422" "Bogdan Jachowicz" 39487 "2014-02-13" 2014
"423" "Bożena Rządzińska" 39487 "2014-02-13" 2014
